ORDER,FAMILY,Artname,CH,Bemerkungen
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),Ctenophora festiva Meigen,1,Totholz
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),C. flaveolata (Fabricius),2,Totholz
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),C. guttata Meigen,1,Totholz
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),C. pectinicornis (Linnaeus),3,Totholz
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),Dictenidia bimaculata (Linnaeus),2,Totholz
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),Dolichopeza albipes (Strom),3,"Torfstiche, Bäche"
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),D. nitida Mik,1,Bäche
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),Nephrotoma austriaca (Mannheims & Theowald),3,"Uferwald, Hochstaudenfluren"
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),N. croceiventris lindneri (Mannheims),3,Bach- und Teichufer
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),N. euchroma (Mik),4,"Moorränder, Gestrüppe"
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),N. guestfalica (Westhoff),4,Ränder von Wasserläufen
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),N. helvetica (Mannheims & Theowald),2,"Auenwälder, sandige Böden"
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),N. lamellata (Riedel),2,"feuchte, wärmeliebende Wälder"
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),N. scalaris (Meigen),4,"Äcker, feuchte Zonen"
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),N. submaculosa Edwards,4,"Landwirtsch. Kulturen, Ränder von Wasserläufen"
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),Prionocera pubescens Loew,2,Torfstiche
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),P. turcica (Fabricius),4,Torfstiche
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),Tanypfera nigricornis (Meigen),1,Totholz
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),T i p u i  adusta Savtshenko,1,Biotop unbekannt
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),T. affinis Schummel,4,Niedermoore
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),T. apicispina Alexander,1,"feuchte Schluchten (Fagus, Fraxinus)"
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),T. austriaca Pokorny,4,Föhrenwälder (P. sylvestris oder P. mugo)
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),T. berteii Rondani,4,"feuchte, wärmeliebende Wäider"
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),T. bezzii Mannheims & Theowald,4,wärmeliebende Wälder
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),T. bilobata Pokorny,1,"Biotop unbekannt, kalkreich"
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),T. bistilata Lundström,1,sandige Flussufer
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),T. bosnica Strobl,2,Laubwälder mit Bächen
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),",T. breviantennata Lackschewitz",4,"wärmeliebende Wälder, bewaldete Moore"
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),T. caesia Schummel,3,Bäche mit kalkhaltigem Schlick
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),T. cinereocincta Lundström,1,wärmeliebende Wälder
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),T. circumdata Siebke,3,moosreiche subalpine Wälder
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),T. confusa Van der Wulp,4,Laub- oder Laubmischwälder
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),T. couckei Tonnoir,1,Teich- oder Flussufer
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),T. falcata Riedel,4,wärmeliebende Wälder
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),T. grisescens Zetterstedt,3,"Hangmoore, Torfstiche"
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),T. handschini Mannheims,0,Steppen
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),T. heros Egger,4,wärmeliebende Wälder
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),T. interserta Riedel,2,Ränder von Tbrfstichen
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),T. irregularis Pokorny,3,"Schutt, alpine Wiesen auf kristallinem Untergrund"
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),T. italica Lackschewitz,4,"Moore, Gräben"
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),T. longidens Strobl,2,trockenheit- und wärmeliebende Wälder
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),T. luridorostris Schummel,3,Nadelwälder
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),T. luteipennis agilis Dufour & Brunhes,4,"Moore, feuchte Wiesen"
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),T. mayerduerii Egger,3,feiner Kalkschutt
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),T. melanoceros Schummel,3,Torfstiche
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),"T. montium italia Theowald, Dufour & Oosterbroek",4,Flussufer
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),T. nodicornis Meigen,2,sandige Flussufer
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),T. obscuriventris Strobl,3,Wasserläufe
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),T. orientalis Lackschewitz,4,"Moore, überschwemmte Wiesen"
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),Tipula pechlaneri Mannheims & Theowald,4,"Hangwiesen, Bäche"
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),T. pilicauda Pierre,4,Biotop unbekannt
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),T. pseudocrassiventris Theowald,1,wärmeliebende Föhrenwälder
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),T. pseudopruinosa Strobl,3,feuchte Schluchten auf kalkhaltigem Untergrund
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),T. saginata Bergroth,2,Wasserläufe
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),T. sauteri Dufour,1,obere alpine Stufe
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),T. siebkei Zetterstedt,3,Laubwälder
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),T. stigmatella Schummer,1,Laubwälder
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),T. subcunctans Alexander,1,zeitweise überschwemmte Wiesen
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),T. subglacialis Theowald,2,obere alpine Stufe auf kalkhaltigem Untergrund
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),T. submontium Theowald,1,Bachufer
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),T. subvafra Lackschewitz,4,"bewaldete Torfstiche, moosreiche Wälder"
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),T. trifascingulata Theowald,3,Laub- oder Laubmischwälder
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),T. truncata Loew,1,"wärmebegünstigte Hecken, Trockenrasen"
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),T. tulipa Dufour,1,trockenwarmer Föhrenwald
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),T. vittata Meigen,4,"Bachufer, Gräben "
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),T. winthemi Lackschewitz,0,Biotop unbekannt 
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),T. xyrophora Theischinger,1,Steppen